 ,Area,Mean,Min,Max
1,103539.245,95.911,65,143
2,18049.654,104.831,17,155
3,247.740,80.487,65,93
4,184.146,86.680,74,98
5,211.059,82.656,72,93
6,320.367,81.853,69,92
7,146.727,82.932,75,95
8,233.178,89.103,78,103
9,117.972,84.591,73,95
10,147.096,94.063,86,104
11,427.831,88.700,79,98
12,160.552,85.175,76,97
13,346.726,83.508,73,98
14,280.920,85.094,77,95
15,301.749,85.751,76,96
16,313.731,90.670,78,105
17,218.432,101.808,88,113
18,355.389,85.179,75,100
19,768.843,81.479,71,94
20,362.210,93.444,84,104
21,217.879,84.526,76,95
22,567.738,87.160,73,102
23,431.702,80.547,72,93
24,235.759,94.782,81,113
25,275.021,85.850,72,96
26,321.657,81.523,70,92
27,79.446,90.443,83,116
28,90.506,84.193,77,92
29,374.928,79.572,71,90
30,318.339,80.431,71,94
31,185.252,94.005,85,108
32,277.602,81.868,73,97
33,440.550,82.600,74,97
34,375.297,85.760,77,99
35,230.966,95.067,78,113
36,337.694,86.137,77,96
37,292.901,97.413,80,120
38,322.210,83.851,74,96
39,209.584,86.821,79,98
40,265.252,88.176,80,97
41,402.394,85.355,75,98
42,209.215,83.794,76,91
43,191.335,87.766,78,100
44,700.825,86.788,77,100
45,308.754,89.844,79,103
46,232.625,91.128,82,106
47,467.831,90.207,78,101
48,363.684,90.620,78,104
49,62.857,108.434,96,117
50,153.363,99.206,92,109
51,152.441,94.666,87,104
52,101.566,107.225,96,119
53,306.542,92.044,80,103
54,283.316,94.336,85,105
55,210.321,86.400,74,101
56,337.141,95.609,82,113
57,150.598,102.636,94,112
58,307.095,94.165,85,105
59,148.386,109.132,99,117
60,577.139,92.514,83,104
61,148.755,97.923,91,106
62,174.561,102.940,94,113
63,239.814,101.815,91,121
64,224.330,97.727,88,109
65,169.031,98.076,90,104
66,185.621,93.834,87,103
67,277.049,93.910,86,103
68,137.326,100.156,92,110
69,279.630,105.570,93,124
70,278.155,100.659,93,118
71,230.598,96.007,89,105
72,274.284,93.833,83,110
73,140.460,93.236,85,102
74,72.073,97.749,89,108
75,117.234,100.580,86,114
76,145.437,97.209,90,105
77,156.312,100.292,92,112
78,376.219,91.555,81,104
79,249.399,100.255,89,113
80,159.815,101.044,89,114
81,239.814,95.660,85,108
82,297.325,88.443,79,103
83,183.593,99.529,90,110
84,200.552,100.524,88,111
85,188.939,96.306,85,108
86,399.444,92.423,17,142
87,340.827,92.138,81,107
88,501.379,92.371,81,107
89,258.616,104.442,93,122
90,125.345,118.209,104,132
91,183.409,114.008,94,155
92,211.612,100.625,92,110
93,348.385,98.865,91,112
94,177.326,107.878,96,122
95,329.214,95.326,88,107
96,204.976,97.887,89,109
97,648.475,94.429,87,106
98,154.469,95.641,86,109
99,143.409,94.932,88,110
100,133.640,114.967,97,128
