 ,Area,Mean,Min,Max
1,12307.180,117.303,55,179
2,15589.687,115.338,67,170
3,217.921,120.228,76,142
4,303.943,116.291,82,133
5,178.148,120.035,87,145
6,103.041,133.481,98,151
7,146.884,128.168,95,162
8,118.025,137.567,109,154
9,166.493,135.313,103,160
10,258.804,95.701,80,118
11,164.643,122.551,91,139
12,129.680,137.163,99,157
13,166.493,101.387,86,121
14,213.666,103.548,85,123
15,293.028,107.042,82,123
16,150.584,98.561,81,116
17,272.864,108.742,85,146
18,128.385,119.399,89,149
19,155.949,133.663,70,160
20,101.191,123.757,80,153
21,113.030,136.417,92,157
22,168.528,134.007,97,150
23,133.195,126.797,106,150
24,169.083,132.912,83,154
25,165.753,119.732,89,152
26,107.111,124.945,84,147
27,128.385,124.805,90,149
28,140.409,92.082,81,130
29,216.626,111.316,84,131
30,196.277,127.261,86,150
31,151.324,139.907,93,179
32,171.858,118.312,93,140
33,340.386,122.599,83,143
34,126.905,115.050,85,131
35,110.810,110.419,83,126
36,144.849,123.884,87,145
37,129.865,128.858,94,155
38,160.943,114.345,88,136
39,361.475,124.777,70,162
40,225.876,117.043,84,149
41,110.995,123.818,98,138
42,165.753,140.156,104,159
43,96.566,131.657,106,147
44,113.215,127.503,101,147
45,404.949,129.640,93,154
46,108.591,119.734,99,147
47,142.999,114.397,86,132
48,160.943,124.377,81,146
49,132.085,119.160,83,139
50,138.189,125.521,86,155
51,184.253,110.889,80,129
52,203.492,101.928,85,121
53,130.235,134.960,108,155
54,194.982,122.780,95,143
55,168.898,124.521,95,148
56,206.082,126.623,97,149
57,130.420,116.098,87,144
58,115.990,139.730,101,158
59,133.565,126.726,87,155
60,305.978,126.912,78,153
61,154.839,107.300,88,130
62,129.495,125.960,104,143
63,63.267,122.398,100,134
64,137.449,127.935,94,148
65,124.870,124.440,84,144
66,114.880,131.205,87,150
67,172.413,118.414,84,143
68,220.696,128.572,92,152
69,186.287,135.009,91,160
70,100.081,116.508,93,147
71,153.174,122.972,84,147
72,156.134,136.800,106,157
73,219.031,123.539,95,140
74,253.810,130.842,95,173
75,274.899,107.326,76,132
76,115.990,116.372,91,132
77,184.622,101.361,75,117
78,170.748,115.627,82,136
79,153.729,128.231,84,152
80,104.891,128.571,93,148
81,123.390,138.561,91,159
82,151.139,127.778,94,158
83,171.673,124.561,82,150
84,182.958,139.677,84,162
85,152.804,134.316,94,153
86,158.169,119.181,75,146
87,179.258,112.295,82,131
88,202.012,119.770,89,140
89,128.755,120.481,75,151
90,190.172,130.662,83,153
91,226.616,133.269,92,157
92,243.450,112.995,93,130
93,184.992,118.295,85,135
94,245.300,123.689,92,140
95,149.844,133.840,96,152
96,227.726,122.939,76,152
97,270.089,115.455,83,142
98,240.675,115.945,74,139
99,157.984,133.274,101,157
100,154.284,104.406,74,126
101,218.846,103.908,91,132
102,271.754,89.186,76,126
103,152.989,120.713,85,141
104,126.165,125.802,84,146
105,110.256,119.911,90,141
106,124.315,134.769,104,153
107,154.099,128.443,97,148
108,141.334,122.878,86,141
109,109.146,122.590,90,141
110,120.430,123.109,82,148
111,160.018,124.124,90,160
112,125.610,127.250,85,150
113,174.078,128.439,85,149
114,120.430,125.292,85,145
115,126.720,123.336,88,144
