 ,Area,Mean,Min,Max
1,12141.916,121.784,60,169
2,11813.447,115.099,58,164
3,194.832,134.207,96,162
4,147.461,141.053,120,157
5,129.765,139.470,96,157
6,124.973,137.547,95,157
7,170.133,132.911,84,155
8,122.761,140.737,115,157
9,192.621,133.257,72,153
10,150.779,125.746,85,149
11,121.102,126.755,88,140
12,155.387,134.208,77,161
13,157.599,105.915,86,122
14,120.733,107.206,86,121
15,153.543,100.012,77,118
16,173.082,121.623,88,151
17,139.166,115.181,86,134
18,140.641,127.326,89,146
19,130.134,139.729,98,161
20,177.506,122.174,90,150
21,111.517,117.134,89,132
22,154.096,137.961,98,156
23,153.543,133.050,79,158
24,152.622,125.564,93,150
25,113.913,133.374,111,149
26,105.434,129.147,102,145
27,145.433,145.744,109,163
28,117.047,147.824,115,162
29,137.507,149.576,119,168
30,140.825,132.321,82,153
31,137.876,152.588,117,169
32,125.895,149.365,123,167
33,119.443,113.994,61,147
34,173.635,119.517,73,145
35,164.603,119.866,75,150
36,118.706,129.039,89,155
37,129.581,134.248,84,153
38,218.426,132.960,98,149
39,201.653,125.242,76,151
40,132.162,134.675,86,158
41,138.060,120.702,94,136
42,99.536,116.950,92,134
43,145.064,132.806,84,152
44,114.466,123.436,98,145
45,101.195,126.118,96,149
46,132.530,137.992,96,155
47,127.554,132.390,96,143
48,120.365,137.040,95,158
49,85.712,140.746,105,163
50,116.678,138.744,110,155
51,138.613,122.370,91,138
52,138.982,116.084,80,135
53,116.678,138.744,110,155
54,167.921,123.156,87,145
55,218.795,125.411,90,150
56,145.617,133.849,82,159
57,139.350,128.399,103,142
58,120.918,120.556,93,135
59,92.716,125.847,90,137
60,172.713,124.203,82,146
61,145.433,124.204,63,153
62,140.272,135.442,103,156
63,267.273,136.262,91,160
64,144.143,135.036,94,154
65,150.963,126.226,84,148
66,172.160,120.022,79,146
67,106.725,131.617,97,151
68,179.165,129.522,98,151
69,151.332,129.553,62,157
70,134.374,128.424,91,145
71,163.313,125.549,88,142
72,148.014,115.391,72,138
73,123.130,143.831,114,156
74,142.484,136.543,91,164
75,164.972,117.743,86,153
76,128.659,108.778,82,133
77,72.071,126.519,88,141
78,84.421,129.917,104,145
79,88.476,131.435,93,154
80,161.101,111.426,80,134
81,69.307,134.434,113,146
82,119.996,120.218,80,140
83,147.829,130.892,84,153
84,91.241,130.756,98,148
85,143.959,125.073,93,145
86,141.562,127.017,88,147
87,74.468,119.713,84,138
88,112.992,130.478,89,157
89,156.124,114.048,84,132
90,110.780,133.409,104,153
91,115.204,136.651,106,153
92,173.266,132.511,84,153
93,129.028,140.203,99,163
94,189.487,125.693,79,147
95,137.323,139.095,107,157
96,202.943,131.931,97,148
97,173.266,113.438,79,139
98,149.304,115.342,81,143
99,165.156,119.776,78,154
100,132.715,123.576,90,140
101,235.753,147.888,117,167
102,89.582,134.181,92,150
103,97.324,130.659,88,151
104,151.332,112.542,80,134
105,116.863,143.025,95,164
106,175.110,118.800,74,143
107,190.962,116.437,72,137
108,150.963,138.357,91,157
109,150.041,130.498,79,152
110,162.022,141.735,105,162
111,118.522,122.731,88,149
112,147.276,126.642,83,149
113,111.517,128.098,64,150
114,87.002,138.049,110,151
115,132.162,117.869,90,136
