 ,Area,Mean,Min,Max
1,25065.189,115.399,59,173
2,14927.449,116.371,57,180
3,246.628,132.825,96,155
4,291.972,140.605,94,160
5,196.123,141.802,92,162
6,319.805,135.451,104,158
7,327.916,142.857,100,167
8,200.547,134.396,95,154
9,176.031,136.668,93,156
10,159.995,136.015,99,160
11,212.528,135.698,84,161
12,178.427,127.896,87,146
13,223.219,117.143,87,145
14,272.618,114.536,88,152
15,205.155,128.860,92,160
16,145.802,149.640,119,173
17,162.022,123.891,94,141
18,218.426,126.939,91,148
19,147.645,121.934,86,143
20,122.392,132.934,104,146
21,188.750,128.103,94,143
22,141.562,140.510,117,162
23,191.883,133.720,90,158
24,190.409,144.326,112,163
25,135.480,126.079,101,149
26,166.815,120.487,90,135
27,135.664,137.370,115,155
28,184.510,132.980,102,146
29,209.210,120.004,87,141
30,167.552,112.605,92,134
31,130.687,131.392,98,145
32,140.825,130.072,105,141
33,183.589,124.639,98,149
34,308.746,118.635,85,141
35,160.732,132.338,88,146
36,149.857,125.876,86,167
37,116.494,123.566,90,143
38,186.906,127.085,100,155
39,182.667,122.806,96,139
40,270.406,131.432,86,167
41,208.288,132.081,78,153
42,201.468,128.786,80,152
43,197.966,137.454,112,156
44,337.132,138.865,94,159
45,167.737,140.449,121,161
46,169.027,138.213,106,163
47,239.992,124.736,86,143
48,216.030,108.626,75,131
49,165.893,112.043,70,136
50,156.861,133.234,100,173
51,168.658,119.102,83,141
52,129.212,137.562,104,159
53,161.654,117.515,77,151
54,311.326,131.859,110,153
55,195.017,140.578,88,172
56,176.216,125.811,83,147
57,172.713,124.140,81,150
58,130.871,137.427,97,154
59,166.446,134.024,110,160
60,153.912,124.414,101,141
61,116.494,125.870,89,142
62,115.204,121.549,91,136
63,242.389,124.799,97,147
64,144.512,122.398,96,141
65,145.249,130.299,100,146
66,161.101,113.720,89,134
67,273.540,102.531,76,134
68,366.809,114.433,86,141
69,357.592,135.304,110,154
70,206.998,131.677,88,151
71,153.543,120.607,82,140
72,137.323,124.169,99,145
73,183.773,112.336,83,133
74,166.815,112.872,74,130
75,205.892,109.952,66,134
76,159.442,124.687,77,143
77,130.687,120.622,107,132
78,228.748,122.563,77,152
79,199.625,118.552,92,154
80,376.393,132.799,98,179
81,155.940,141.678,101,158
82,316.303,124.692,89,145
83,209.947,122.392,94,144
84,204.417,118.538,84,135
85,132.899,116.566,90,138
86,192.436,134.538,96,150
87,108.384,139.070,123,152
88,198.150,134.332,107,153
89,156.124,128.821,91,157
90,156.308,132.751,102,150
91,159.811,127.339,97,143
92,169.396,132.865,110,156
93,263.955,146.768,105,180
94,152.990,129.196,106,150
95,309.115,128.132,83,157
96,239.808,128.478,93,152
97,227.274,118.181,88,142
98,223.772,116.241,90,142
99,142.853,120.990,92,137
100,161.654,138.115,111,157
101,161.285,120.269,100,134
102,170.870,135.914,113,154
103,341.925,128.869,101,158
104,174.372,135.621,103,167
105,226.721,122.311,95,144
106,174.372,113.371,91,131
