 ,Area,Mean,Min,Max
1,23485.700,128.540,61,185
2,20349.579,127.448,62,199
3,152.806,140.065,92,171
4,157.599,150.110,104,167
5,144.512,150.770,103,166
6,161.285,138.055,82,162
7,165.893,147.839,119,169
8,166.815,153.185,120,178
9,249.946,117.482,87,134
10,190.777,111.627,89,137
11,244.600,141.035,87,167
12,163.313,145.457,91,164
13,128.659,142.186,88,167
14,199.625,150.656,107,166
15,198.888,137.020,80,161
16,156.124,130.224,78,160
17,163.497,150.829,109,165
18,158.152,148.149,86,167
19,165.156,129.035,91,157
20,245.522,152.751,99,185
21,139.166,140.758,87,162
22,147.829,139.950,101,155
23,100.089,139.238,121,157
24,139.166,136.409,93,153
25,146.355,131.550,94,162
26,190.777,129.835,87,158
27,172.713,142.608,101,158
28,152.253,141.059,107,165
29,145.249,152.674,106,170
30,134.742,128.480,92,150
31,202.758,147.985,112,171
32,147.276,149.233,96,170
33,166.446,143.228,88,164
34,148.935,106.000,73,130
35,253.264,96.439,61,117
36,113.360,157.137,129,179
37,126.632,149.146,118,167
38,146.170,140.485,104,160
39,204.602,144.603,84,172
40,99.352,117.553,93,139
41,77.601,133.964,112,157
42,146.170,148.281,99,177
43,224.878,155.437,119,181
44,120.365,133.856,111,146
45,151.516,154.034,107,176
46,156.861,148.958,118,196
47,132.346,146.121,123,158
48,267.641,138.791,107,159
49,148.567,140.766,91,165
50,71.150,138.959,112,164
51,119.996,133.991,86,156
52,99.167,118.848,82,178
53,162.760,137.933,96,171
54,185.985,123.398,86,152
55,143.221,143.958,96,161
56,153.912,147.122,97,167
57,159.442,150.333,100,167
58,116.494,116.339,89,141
59,169.211,136.269,76,164
60,132.530,114.163,74,133
61,129.212,138.633,100,160
62,162.391,142.919,98,162
63,157.783,133.442,99,151
64,150.779,140.046,111,164
65,117.600,156.762,109,169
66,145.986,148.217,109,165
67,131.609,145.929,105,170
68,206.261,141.280,100,165
69,175.478,159.931,133,176
70,115.204,138.314,111,156
71,149.120,120.194,80,140
72,113.729,145.619,121,161
73,151.700,145.841,98,170
74,153.175,149.193,88,170
75,141.747,153.199,117,170
76,178.243,129.432,102,155
77,123.867,156.851,131,172
78,122.945,150.217,103,176
79,151.147,160.084,135,180
80,242.204,142.409,94,166
81,217.689,114.899,72,144
82,148.382,135.036,85,156
83,154.281,124.447,78,144
84,95.849,133.835,109,149
85,82.394,143.230,102,163
86,152.438,149.938,98,166
87,174.372,134.044,101,152
88,133.452,154.508,123,169
89,197.044,139.754,101,162
90,157.414,141.255,89,161
91,135.848,135.033,110,152
92,164.603,135.254,84,157
93,155.755,129.657,90,153
94,171.607,128.003,67,165
95,174.925,137.945,88,158
96,146.539,148.404,102,170
97,145.617,140.672,91,158
98,148.382,148.025,93,167
99,175.110,155.101,111,175
100,146.355,153.505,110,167
