 ,Area,Mean,Min,Max
1,15080.070,118.132,67,177
2,16042.252,114.639,61,186
3,176.216,103.046,88,117
4,213.081,101.809,78,118
5,221.007,104.467,81,121
6,127.738,136.828,100,156
7,186.169,126.384,77,156
8,169.211,86.798,69,108
9,117.047,99.244,84,111
10,211.422,95.073,83,108
11,98.983,149.034,99,167
12,91.794,102.199,78,123
13,117.969,117.952,86,136
14,142.300,127.775,108,139
15,183.036,106.400,88,127
16,180.086,97.551,73,113
17,196.123,105.458,91,125
18,163.313,130.122,106,152
19,153.175,130.072,99,152
20,102.301,145.432,120,161
21,87.002,124.623,97,150
22,145.064,128.612,91,146
23,176.216,101.020,86,132
24,163.128,100.356,87,113
25,106.172,95.764,71,115
26,109.121,153.029,116,177
27,105.066,135.161,97,155
28,170.501,131.259,93,154
29,110.964,144.214,122,153
30,152.990,125.176,104,144
31,105.066,125.095,91,142
32,57.694,123.645,99,149
33,94.744,147.241,114,164
34,121.471,128.833,99,149
35,178.796,125.376,75,151
36,122.577,123.908,98,139
37,164.787,132.484,72,158
38,90.135,139.072,121,154
39,87.186,106.956,90,128
40,156.308,135.671,108,152
41,117.047,129.942,94,150
42,160.548,118.677,99,141
43,158.336,118.217,97,135
44,163.866,135.948,86,159
45,181.008,133.444,104,150
46,124.604,139.186,96,158
47,167.737,121.898,90,152
48,251.236,99.144,82,114
49,186.906,134.564,83,161
50,142.484,128.164,99,144
51,135.848,128.727,106,143
52,291.235,106.784,81,132
53,135.111,117.055,82,133
54,140.641,124.650,81,148
55,109.121,133.698,89,154
56,133.083,115.985,93,134
57,137.507,127.157,110,146
58,130.871,119.225,90,139
59,148.751,121.550,84,143
60,113.545,127.846,88,148
61,146.355,133.200,68,167
62,139.903,125.576,103,154
63,161.838,134.475,98,158
64,118.153,143.206,122,156
65,114.466,126.746,93,144
66,84.421,130.945,107,141
67,184.326,115.723,90,136
68,156.677,113.958,81,131
69,247.181,113.808,71,136
70,103.960,115.555,81,132
71,217.505,91.883,70,118
72,162.391,97.243,79,122
73,215.661,90.897,73,115
74,160.917,125.323,78,148
75,156.861,101.107,83,113
76,197.413,129.378,91,151
77,134.742,120.877,73,146
78,193.174,88.467,70,113
79,155.940,132.124,103,148
80,141.931,123.713,95,138
81,175.110,141.824,103,160
82,170.133,123.356,87,148
83,207.182,102.998,78,118
84,94.006,129.622,108,145
85,131.424,131.266,91,149
86,99.352,142.334,111,157
87,165.709,121.958,88,144
88,168.105,104.679,85,125
89,178.427,100.009,83,115
90,115.204,128.691,95,152
91,180.824,134.121,72,163
92,190.962,139.392,101,164
93,124.973,138.224,106,160
94,171.239,132.729,93,157
95,144.327,129.267,85,156
96,170.501,122.491,84,141
97,175.110,141.856,85,170
98,129.397,132.256,79,153
99,148.382,128.494,92,143
100,113.176,125.112,83,148
