 ,Area,Mean,Min,Max
1,89715.470,116.185,58,176
2,52940.794,122.112,18,201
3,255.107,113.512,73,137
4,447.175,117.841,65,145
5,335.842,112.370,89,135
6,208.473,114.741,84,137
7,247.918,108.049,91,137
8,230.592,112.656,71,130
9,498.049,110.534,72,135
10,239.071,115.007,85,137
11,209.763,114.569,95,138
12,286.811,116.857,84,142
13,254.923,116.868,69,138
14,178.059,115.290,91,137
15,246.812,109.924,68,134
16,207.551,118.843,85,137
17,328.100,128.549,98,146
18,204.602,121.692,88,145
19,216.399,123.383,98,151
20,208.104,115.333,79,144
21,243.863,119.029,86,148
22,225.799,120.233,90,139
23,176.953,110.569,84,131
24,235.200,115.409,78,140
25,181.192,120.978,95,140
26,234.463,111.424,74,136
27,153.543,119.236,94,135
28,196.123,111.306,87,134
29,140.456,115.470,98,135
30,138.244,113.341,75,138
31,402.015,118.947,88,136
32,220.085,120.788,93,141
33,120.180,106.460,88,133
34,322.017,115.899,84,140
35,267.457,119.520,98,138
36,566.618,109.117,80,133
37,260.268,106.401,69,126
38,422.291,111.022,79,133
39,166.262,124.696,100,146
40,292.710,114.892,89,139
41,258.794,122.782,92,142
42,215.108,131.883,104,151
43,153.912,116.489,98,139
44,244.600,114.294,86,138
45,337.316,115.135,83,138
46,486.252,128.077,89,151
47,383.951,120.485,92,148
48,308.377,120.777,93,138
49,152.069,115.164,93,133
50,286.995,123.383,97,145
51,299.898,121.366,103,141
52,235.568,127.548,98,151
53,212.712,116.097,89,134
54,231.882,110.400,83,133
55,205.892,123.794,99,145
56,193.358,124.379,103,138
57,276.857,119.041,90,139
58,165.156,119.076,99,138
59,191.883,125.861,111,138
60,65.067,129.926,97,148
61,273.908,121.511,98,145
62,341.556,117.026,98,135
63,165.156,120.438,103,134
64,203.127,123.278,104,152
65,194.648,119.813,95,138
66,213.634,128.678,98,147
67,272.802,119.277,84,134
68,219.532,123.412,104,138
69,300.267,115.839,79,135
70,542.840,118.596,78,140
71,281.650,114.113,94,130
72,582.654,121.870,85,142
73,573.991,117.588,82,145
74,500.998,112.481,88,133
75,207.551,123.397,79,146
76,234.831,120.495,92,141
77,231.698,136.239,109,153
78,282.940,125.854,91,151
79,527.356,121.041,101,142
80,428.189,117.578,96,148
81,149.673,128.680,114,142
82,272.618,120.815,101,138
83,136.585,107.300,86,125
84,157.230,128.467,108,144
85,165.525,114.738,87,131
86,211.606,114.067,89,144
87,211.237,126.876,98,152
88,234.278,128.334,111,143
89,253.264,125.491,110,140
90,220.269,120.118,85,140
91,237.227,130.495,93,153
92,203.496,130.525,110,146
93,239.439,119.584,96,140
94,340.634,120.933,98,141
95,204.049,125.374,100,146
96,131.240,123.027,105,139
97,190.224,120.859,94,136
98,569.936,121.430,99,141
99,134.374,118.617,92,145
100,127.738,130.110,105,147
101,292.894,132.879,107,148
102,531.965,133.802,110,156
103,152.622,145.134,110,166
104,196.123,128.030,105,141
105,365.334,130.341,95,155
106,248.287,124.955,98,139
107,615.649,122.968,94,144
108,141.562,140.520,120,154
109,169.580,141.446,116,181
110,163.313,127.683,102,142
111,245.338,125.956,101,146
112,176.769,124.200,102,143
