 ,Area,Mean,Min,Max
1,44069.557,112.141,53,152
2,45509.143,117.136,44,164
3,378.421,114.088,77,142
4,436.668,110.407,82,131
5,303.953,105.912,79,134
6,308.193,106.821,72,127
7,311.511,116.395,78,134
8,275.567,106.664,84,126
9,255.844,111.824,91,131
10,202.390,108.613,89,129
11,203.680,111.267,84,134
12,241.098,98.846,65,116
13,239.439,112.350,81,129
14,338.791,107.565,75,131
15,237.780,115.026,90,137
16,263.770,118.711,94,137
17,128.291,108.727,80,127
18,633.528,110.735,79,132
19,223.034,110.777,73,130
20,178.059,104.393,83,125
21,137.507,109.619,73,129
22,182.667,105.348,82,126
23,183.589,105.257,87,130
24,352.800,105.621,80,125
25,485.330,109.637,75,132
26,251.789,111.811,78,134
27,154.281,107.319,79,125
28,111.149,99.673,76,131
29,242.757,111.838,85,129
30,235.016,112.761,85,128
31,201.100,107.605,84,125
32,165.893,111.756,84,130
33,164.972,107.638,82,124
34,206.445,107.791,87,123
35,163.497,123.346,94,142
36,138.429,97.539,68,113
37,260.452,99.892,76,123
38,413.259,105.145,78,130
39,201.100,100.710,79,120
40,289.760,105.141,77,125
41,235.384,113.004,76,137
42,151.147,112.754,87,128
43,201.100,107.545,92,123
44,247.181,119.802,97,136
45,247.181,116.256,101,134
46,108.199,123.520,91,137
47,185.616,120.820,91,140
48,181.008,105.616,79,122
49,251.236,107.150,92,122
50,229.854,118.435,97,133
51,210.869,112.654,70,133
52,302.663,120.167,92,139
53,221.375,117.850,92,134
54,239.255,130.705,112,142
55,227.642,131.443,93,151
56,310.405,121.226,87,143
57,160.548,118.959,91,134
58,314.644,113.359,91,136
59,199.256,123.698,91,142
60,430.954,115.944,86,135
61,155.755,104.408,85,123
62,174.188,129.576,100,147
63,119.259,127.478,94,141
64,299.345,126.137,99,139
65,193.358,116.190,88,134
66,237.596,113.055,79,134
67,234.831,114.348,83,138
68,225.984,122.485,98,146
69,437.774,119.800,91,144
70,393.720,116.771,80,140
71,157.599,126.250,104,144
72,251.605,122.676,97,142
73,297.871,123.051,89,144
74,156.493,125.385,97,147
75,172.345,109.304,83,130
76,104.513,114.951,99,134
77,244.785,98.517,81,116
78,331.787,115.140,63,142
79,448.465,105.346,84,126
80,150.963,117.954,96,135
81,194.464,116.644,92,137
82,106.725,120.326,100,135
83,190.593,109.571,92,127
84,223.587,113.926,86,133
85,251.789,118.663,80,140
86,222.481,135.047,88,160
87,239.439,118.015,98,136
88,99.536,115.115,94,130
89,407.545,119.872,101,138
90,385.978,108.380,84,128
91,174.188,114.503,85,131
92,116.310,110.552,90,123
93,145.064,121.656,106,137
94,220.269,113.866,83,130
95,226.721,107.380,82,128
96,128.844,114.674,96,131
97,127.922,118.467,91,133
98,186.169,117.661,102,133
99,395.195,101.874,81,120
100,260.821,108.798,86,128
101,171.976,119.087,101,133
102,295.290,121.176,87,144
103,312.985,106.557,84,134
104,348.745,111.814,92,134
105,291.051,108.838,81,129
106,220.638,127.930,101,144
107,278.148,114.420,83,131
108,229.854,112.773,89,130
109,214.924,118.955,96,138
110,228.748,111.682,87,134
