 ,Area,Mean,Min,Max
1,51257.346,108.364,54,154
2,62367.036,97.462,25,155
3,306.350,114.608,94,135
4,430.032,109.622,83,132
5,388.006,132.014,100,154
6,301.189,111.755,88,132
7,307.271,111.393,79,127
8,420.632,112.035,82,135
9,300.083,104.809,86,126
10,346.348,102.194,85,127
11,562.194,119.548,88,139
12,281.834,111.117,87,128
13,191.515,107.884,90,120
14,328.653,102.740,74,120
15,665.416,101.956,72,124
16,353.537,108.094,76,131
17,384.319,109.028,75,127
18,369.573,102.901,79,131
19,285.521,99.762,82,118
20,254.554,107.455,86,121
21,271.328,97.955,77,120
22,279.807,106.226,77,126
23,247.550,103.012,85,125
24,253.448,99.520,78,116
25,295.474,113.411,83,130
26,309.852,102.983,78,122
27,144.696,112.651,92,128
28,231.145,105.064,84,128
29,331.234,108.324,91,125
30,351.878,105.395,76,134
31,263.217,104.721,81,131
32,196.491,131.256,89,149
33,236.674,113.519,95,129
34,241.836,106.028,77,121
35,304.322,116.459,84,137
36,265.429,109.568,85,127
37,178.796,88.769,72,107
38,202.021,95.036,60,109
39,138.797,94.769,57,117
40,170.133,99.481,74,117
41,277.779,105.409,73,127
42,318.331,92.554,72,109
43,108.568,106.494,75,122
44,224.140,115.104,91,129
45,143.590,105.232,79,121
46,261.743,101.559,81,120
47,211.606,99.201,76,116
48,344.505,103.941,75,123
49,498.602,97.868,65,119
50,228.380,104.715,73,124
51,183.036,108.977,76,125
52,264.323,106.682,95,124
53,260.268,118.985,80,141
54,229.854,101.442,80,122
55,276.673,97.358,69,117
56,293.631,99.889,71,120
57,292.525,99.826,76,118
58,279.991,103.656,68,123
59,203.127,98.547,71,121
60,322.570,97.591,66,117
61,341.556,101.318,83,119
62,201.100,94.747,68,120
63,217.320,98.574,77,119
64,166.446,86.476,71,100
65,272.802,89.754,68,105
66,189.856,98.580,70,122
67,482.381,98.430,70,116
68,225.615,99.335,74,119
69,327.916,96.827,69,119
70,375.103,102.798,84,121
71,320.543,106.194,72,129
72,311.879,107.345,77,124
73,178.796,97.309,76,119
74,319.805,82.509,61,97
75,297.502,92.883,56,120
76,382.661,95.962,70,120
77,248.840,104.231,84,123
78,221.375,98.849,74,116
79,260.084,106.431,87,125
80,291.972,93.837,71,114
81,193.727,105.642,72,122
82,256.950,107.197,79,125
83,402.383,82.563,59,112
84,322.386,90.755,53,110
85,125.710,86.120,50,103
86,173.819,100.622,81,119
87,164.972,85.013,59,99
88,206.814,92.119,65,109
89,231.882,92.429,64,113
90,159.442,97.472,81,109
91,90.873,104.085,91,116
92,147.092,101.777,67,119
93,230.592,99.006,75,129
94,486.436,107.464,81,130
95,327.547,103.204,79,123
96,402.752,106.636,81,130
97,184.879,105.835,80,127
98,305.797,112.913,89,129
99,255.844,112.109,94,134
100,384.319,103.736,74,125
101,101.379,91.111,77,106
102,131.240,112.396,97,128
103,330.496,97.447,65,117
104,233.725,96.715,81,114
105,430.217,103.835,85,124
106,349.666,91.339,69,109
107,228.933,82.198,57,104
108,96.955,93.487,58,113
109,188.565,116.699,96,135
110,199.625,113.853,97,131
111,304.322,109.065,80,127
112,253.079,105.652,83,125
113,188.197,121.932,74,136
114,218.242,109.031,60,125
