 ,Area,Mean,Min,Max
1,52976.738,104.998,45,148
2,61099.243,103.527,38,147
3,207.735,99.984,74,123
4,322.202,86.771,69,106
5,268.747,84.847,67,102
6,207.735,99.709,72,126
7,228.564,101.846,79,124
8,190.224,115.004,86,141
9,128.659,110.759,81,127
10,156.677,100.228,71,116
11,297.871,115.063,91,138
12,226.537,95.060,71,116
13,228.195,91.931,54,119
14,220.085,91.735,56,121
15,233.910,97.416,71,116
16,201.653,111.232,73,137
17,263.955,101.741,80,123
18,228.380,119.513,80,148
19,139.166,104.870,58,125
20,212.712,108.795,80,130
21,345.980,116.842,94,138
22,200.178,101.054,69,132
23,597.400,103.699,61,129
24,262.664,109.662,83,130
25,490.123,99.010,75,118
26,239.808,95.128,77,119
27,382.476,106.870,73,134
28,244.785,109.872,84,137
29,470.215,111.280,66,140
30,362.016,118.024,80,137
31,229.486,105.425,73,132
32,260.268,114.542,84,135
33,401.830,105.500,73,124
34,208.473,110.065,87,132
35,201.468,118.322,88,138
36,304.506,114.232,76,138
37,148.198,94.660,72,115
38,157.230,96.539,68,118
39,167.184,102.573,79,120
40,400.356,103.637,77,127
41,217.505,106.681,83,128
42,289.760,119.535,96,136
43,286.811,115.642,84,141
44,188.565,107.427,78,129
45,299.898,106.136,71,122
46,142.300,105.010,72,125
47,237.227,110.988,81,136
48,294.184,95.242,67,122
49,453.073,110.668,81,131
50,453.073,110.668,81,131
51,280.544,105.143,78,130
52,227.458,99.724,63,133
53,253.448,99.636,54,138
54,298.424,91.435,71,120
55,210.685,104.476,78,129
56,475.008,91.226,53,131
57,493.256,99.239,71,124
58,423.765,108.053,79,132
59,381.370,105.082,74,131
60,331.234,91.130,62,115
61,429.111,102.652,73,129
62,287.733,111.455,89,135
63,496.205,107.758,77,131
64,391.140,103.578,77,133
65,310.220,100.889,67,134
66,199.625,96.184,69,117
67,216.952,116.561,84,144
68,162.760,113.584,98,131
69,312.985,116.038,85,137
70,407.913,110.087,81,137
71,160.732,118.099,99,138
72,479.247,108.593,78,131
73,279.807,109.516,81,129
74,458.787,96.949,70,120
75,400.540,113.024,84,143
76,382.292,109.136,73,130
77,443.488,103.116,58,126
78,225.799,100.299,73,122
79,483.118,107.671,73,132
80,553.162,103.502,56,142
81,322.386,103.754,75,125
82,275.752,113.323,85,146
83,255.844,108.956,78,143
84,266.904,109.901,76,132
85,324.414,105.031,65,129
86,351.878,113.729,71,142
87,329.206,116.437,76,146
88,285.336,107.275,81,132
89,313.538,101.580,83,127
90,237.965,114.061,87,140
91,323.492,104.023,58,132
92,336.026,111.201,79,133
93,440.723,108.429,84,129
94,247.181,108.200,84,130
95,312.617,109.708,78,130
96,248.103,115.958,83,147
97,142.115,106.259,83,128
98,536.573,110.801,72,143
99,318.515,106.433,80,132
100,557.770,107.740,72,138
101,334.552,118.878,85,139
102,399.066,120.098,86,141
103,339.344,116.601,87,136
104,378.974,113.834,87,141
105,284.231,108.018,78,131
106,288.839,116.396,84,134
107,428.189,99.437,69,125
108,417.498,110.763,81,130
