 ,Area,Mean,Min,Max
1,61933.502,120.566,67,228
2,13439.570,114.578,65,181
3,178.243,132.767,108,150
4,134.374,134.516,119,148
5,151.700,132.650,97,150
6,145.433,125.490,109,144
7,160.917,138.238,118,156
8,152.253,130.810,102,143
9,109.490,132.559,121,146
10,218.058,136.930,101,153
11,193.542,114.364,90,134
12,231.882,133.895,113,155
13,104.697,136.530,108,152
14,196.860,124.773,98,143
15,223.034,124.276,104,150
16,168.105,125.562,104,139
17,228.380,110.594,90,129
18,213.449,119.991,88,142
19,318.331,110.822,82,129
20,152.622,135.580,115,149
21,357.224,119.389,79,137
22,224.325,115.301,98,138
23,318.147,115.217,81,132
24,137.691,107.874,86,129
25,176.953,128.090,94,150
26,193.542,117.740,96,138
27,226.537,110.775,93,125
28,134.374,110.890,92,123
29,221.560,146.183,109,165
30,168.843,122.433,98,140
31,214.555,136.524,79,158
32,283.309,98.139,71,122
33,158.705,124.876,102,142
34,148.935,123.587,108,140
35,242.573,122.474,105,141
36,270.406,126.543,107,145
37,296.949,123.024,98,145
38,276.305,143.103,106,165
39,198.888,115.378,90,136
40,205.892,115.870,98,139
41,219.163,120.881,77,139
42,143.774,126.474,90,141
43,313.907,103.624,80,127
44,258.241,135.027,85,155
45,412.153,123.649,84,147
46,161.469,136.801,119,150
47,207.182,106.691,74,124
48,348.376,130.048,101,145
49,307.087,112.664,82,130
50,314.644,111.832,84,135
51,590.765,131.351,88,149
52,223.956,128.563,100,150
53,221.744,116.380,96,133
54,325.151,108.337,77,135
55,244.969,119.005,80,138
56,531.412,114.780,81,133
57,398.144,108.961,80,128
58,304.138,116.350,87,134
59,232.804,125.093,99,141
60,142.115,134.585,114,149
61,274.646,129.367,102,148
62,158.152,136.276,111,152
63,237.596,126.083,109,142
64,178.059,125.995,106,139
65,246.628,109.256,79,139
66,285.336,109.703,85,133
67,418.604,110.408,75,128
68,337.869,128.835,99,147
69,234.094,115.875,77,137
70,260.637,111.414,73,134
71,256.582,116.596,86,136
72,244.969,121.114,89,143
73,371.970,124.585,93,151
74,236.306,143.062,112,167
75,198.335,124.773,100,143
76,311.511,134.050,111,165
77,199.625,132.087,113,157
78,214.371,137.554,107,154
79,258.609,135.116,101,162
80,364.965,137.713,115,156
81,210.685,142.111,117,157
82,252.158,131.471,92,159
83,172.529,133.968,106,154
84,495.099,133.104,101,151
85,353.721,117.587,91,143
86,424.871,112.584,83,136
87,514.269,116.091,89,136
88,310.958,119.310,96,136
89,461.183,116.076,92,131
90,276.120,110.437,86,143
91,313.170,124.574,93,142
92,502.472,116.469,92,139
93,151.516,139.124,125,152
94,383.951,129.712,100,147
95,239.992,119.762,94,135
96,347.270,113.443,92,134
97,239.071,127.984,106,146
98,228.380,128.161,86,146
99,118.522,132.473,112,147
100,289.945,117.286,91,132
101,535.651,118.763,79,145
102,217.505,123.095,98,138
103,247.181,109.644,84,128
104,173.266,108.264,84,124
105,596.663,100.545,70,123
106,314.829,122.136,86,152
