 ,Area,Mean,Min,Max
1,54250.430,106.219,37,179
2,28563.141,108.673,55,172
3,143.774,107.165,69,129
4,169.396,112.766,91,132
5,144.696,113.657,82,132
6,144.512,107.182,82,123
7,178.796,109.598,82,131
8,192.989,104.354,78,127
9,203.680,113.090,88,130
10,197.044,108.720,77,147
11,208.657,106.595,79,134
12,198.335,105.572,86,129
13,183.773,104.257,79,129
14,137.691,113.280,86,131
15,153.912,114.737,91,131
16,125.710,111.113,76,132
17,335.104,105.328,82,123
18,88.661,108.576,75,136
19,184.695,105.426,77,131
20,174.925,118.467,58,141
21,278.885,105.426,77,130
22,143.037,106.052,84,125
23,152.438,93.027,77,112
24,243.126,105.415,86,127
25,160.179,104.007,87,119
26,384.872,104.866,85,127
27,192.068,98.709,77,120
28,162.760,111.616,85,128
29,281.097,106.024,73,131
30,231.329,103.053,78,126
31,141.562,104.576,84,124
32,169.948,100.706,74,124
33,124.789,92.702,66,119
34,334.552,105.948,66,133
35,264.323,104.418,64,135
36,178.059,116.665,97,134
37,303.585,102.091,72,127
38,267.641,96.336,65,118
39,236.490,100.841,71,119
40,305.612,97.215,74,121
41,395.932,108.309,89,129
42,239.439,103.565,83,121
43,186.722,116.017,99,133
44,298.977,106.107,79,127
45,134.742,88.629,61,111
46,223.034,107.983,73,136
47,262.111,103.911,73,123
48,152.069,92.030,62,115
49,245.706,96.415,66,120
50,149.120,104.501,85,119
51,226.168,92.932,67,111
52,159.995,101.738,76,115
53,111.886,102.941,69,119
54,204.602,104.744,73,124
55,141.194,105.809,84,121
56,332.155,101.813,71,129
57,146.723,108.261,59,131
58,405.701,84.366,62,120
59,205.155,97.649,75,117
60,193.911,105.815,81,124
61,209.579,105.675,84,123
62,209.210,104.372,76,127
63,177.137,107.763,86,124
64,544.683,99.137,58,126
65,186.169,112.622,84,132
66,203.496,102.967,69,128
67,182.483,109.601,82,133
68,278.701,115.116,85,132
69,165.525,116.749,95,133
70,315.750,108.888,81,134
71,396.854,105.312,71,135
72,280.544,107.806,87,128
73,256.397,106.068,79,125
74,148.198,106.419,86,122
75,194.279,101.866,70,121
76,231.513,102.276,76,123
77,213.449,102.239,85,121
78,301.741,111.652,83,130
79,246.444,120.969,88,142
80,181.745,127.050,87,147
81,218.611,117.514,83,153
82,226.168,116.786,78,136
83,211.053,114.128,79,132
84,219.348,109.082,82,132
85,277.226,88.604,66,119
86,274.646,102.113,81,121
87,231.698,102.766,62,132
88,224.693,117.147,77,140
89,292.157,104.089,79,123
90,216.952,104.687,78,129
91,287.917,120.509,91,143
92,245.891,121.154,96,138
93,196.676,121.948,92,141
94,314.460,108.664,77,130
95,319.437,117.690,95,138
96,179.533,116.238,94,134
97,102.670,115.226,94,134
98,270.037,104.001,82,127
99,189.487,122.238,88,146
100,271.881,106.319,81,128
101,195.017,96.206,70,123
102,237.412,111.329,89,133
103,170.317,119.057,91,141
104,226.168,111.209,87,133
