 ,Area,Mean,Min,Max
1,59987.020,97.245,58,149
2,86015.312,91.234,53,156
3,415.839,110.833,69,132
4,268.563,112.883,87,134
5,289.760,105.889,76,122
6,460.999,109.391,84,132
7,253.264,99.301,77,117
8,332.708,102.157,77,121
9,310.958,97.227,76,117
10,185.616,97.556,67,115
11,221.744,105.122,86,124
12,322.386,98.322,78,117
13,428.005,96.575,79,114
14,455.101,105.294,76,129
15,635.003,105.602,78,125
16,161.654,100.131,80,116
17,328.100,98.148,75,120
18,248.287,98.856,75,115
19,161.101,100.891,86,111
20,180.639,109.989,93,130
21,248.287,100.173,82,119
22,159.626,102.611,76,119
23,232.251,98.736,81,116
24,190.040,103.990,73,121
25,303.585,106.435,83,125
26,235.200,101.231,79,118
27,294.000,99.665,66,116
28,234.831,95.818,67,114
29,698.595,104.754,83,125
30,254.370,96.480,72,118
31,340.266,100.155,82,118
32,289.392,96.045,75,113
33,218.242,111.863,83,134
34,354.827,107.706,90,130
35,217.505,123.401,105,135
36,185.432,102.884,83,125
37,182.483,107.582,89,127
38,471.137,96.128,68,120
39,191.883,107.480,88,121
40,409.756,97.261,77,116
41,410.494,104.249,69,126
42,594.082,99.350,75,118
43,178.612,99.894,76,117
44,322.017,95.766,78,113
45,581.364,93.674,68,113
46,279.991,88.350,66,104
47,244.600,97.170,74,117
48,179.533,85.376,64,105
49,313.170,93.784,71,114
50,211.790,97.874,81,114
51,372.154,94.284,65,116
52,351.509,92.412,74,109
53,412.890,86.104,66,105
54,320.358,88.170,74,110
55,425.424,89.375,66,110
56,402.015,95.982,68,124
57,254.923,97.534,65,113
58,313.170,92.484,62,115
59,365.150,96.170,70,119
60,188.750,100.008,74,126
61,239.808,94.225,77,135
62,207.551,88.778,64,107
63,569.198,91.643,61,122
64,344.874,90.187,68,106
65,200.731,97.795,78,113
66,512.057,103.120,71,123
67,185.801,87.154,73,101
68,323.492,99.117,79,117
69,258.056,99.468,69,120
70,253.264,91.314,66,107
71,665.232,99.358,71,120
72,215.108,93.582,61,115
73,258.241,100.713,72,118
74,241.651,95.766,70,115
75,316.119,91.822,68,112
76,138.429,87.855,73,103
77,250.499,92.822,69,109
78,759.054,99.926,71,138
79,172.898,100.038,67,141
80,417.867,91.489,67,113
81,166.999,90.004,75,107
82,426.530,90.821,64,107
83,330.681,93.797,59,114
84,871.493,97.161,65,119
85,240.914,101.011,77,120
86,296.212,97.732,58,117
87,373.997,95.259,68,115
88,201.653,106.007,70,124
89,518.693,98.181,84,114
90,336.395,102.957,83,127
91,216.030,94.961,74,116
92,431.138,98.908,73,119
93,186.538,97.051,70,114
94,139.166,94.347,78,112
95,292.157,101.814,80,119
96,113.360,103.543,71,124
97,259.347,100.007,81,117
98,157.414,95.064,79,116
99,270.959,93.843,64,112
100,256.029,93.215,70,115
101,413.812,96.857,67,122
102,490.676,100.625,63,121
103,211.606,93.679,71,114
