 ,Area,Mean,Min,Max
1,84632.337,106.232,41,200
2,22774.396,109.251,56,155
3,147.102,118.145,90,147
4,223.095,119.104,87,147
5,144.757,115.596,94,137
6,113.696,120.235,94,143
7,146.125,113.464,90,138
8,174.451,122.833,97,143
9,100.998,112.760,80,140
10,203.559,114.017,76,149
11,123.073,115.832,96,130
12,172.107,121.365,98,147
13,173.279,111.546,92,134
14,81.658,106.931,71,130
15,126.785,102.082,74,132
16,113.305,100.797,77,116
17,108.031,101.382,70,127
18,135.380,106.957,75,128
19,131.473,103.865,73,131
20,57.629,100.305,68,136
21,109.594,106.424,64,130
22,163.316,100.406,63,121
23,158.042,105.711,85,123
24,196.526,104.406,79,125
25,170.544,124.190,68,168
26,120.924,110.914,79,135
27,144.171,106.940,72,130
28,196.331,109.285,80,135
29,153.939,108.964,85,124
30,96.505,116.565,83,135
31,192.229,112.651,75,138
32,194.377,118.891,84,141
33,211.959,116.544,82,146
34,131.864,117.852,87,138
35,198.089,120.747,92,146
36,143.390,140.317,110,179
37,103.928,118.688,77,150
38,103.928,118.688,77,150
39,158.237,117.968,81,141
40,150.032,127.805,90,175
41,235.793,114.935,88,138
42,197.894,113.567,84,134
43,238.137,114.909,71,146
44,164.098,101.319,70,123
45,177.577,116.067,74,136
46,168.981,123.414,86,160
47,168.591,116.530,83,140
48,109.008,123.591,107,138
49,106.468,123.596,100,148
50,69.741,121.686,92,138
51,239.895,119.315,86,147
52,242.239,107.994,73,131
53,76.579,111.668,91,126
54,148.274,118.975,94,136
55,175.233,111.525,77,138
56,124.831,109.606,88,130
57,122.682,112.904,81,140
58,118.775,114.375,81,142
59,119.166,118.798,89,139
60,190.080,111.302,87,138
61,283.459,120.806,96,141
62,230.909,122.706,82,140
63,141.632,115.903,89,137
64,301.236,111.016,84,131
65,109.203,141.426,115,165
66,175.623,125.321,93,151
67,186.954,121.932,91,142
68,130.301,118.880,99,136
69,192.815,118.854,87,144
70,253.765,114.016,87,145
71,268.612,123.250,77,152
72,311.590,114.272,65,149
73,235.597,126.537,94,150
74,169.763,119.938,86,156
75,112.329,115.670,87,140
76,217.234,117.519,78,139
77,153.353,119.298,91,139
78,212.155,116.943,86,138
79,160.190,117.774,84,146
80,589.188,119.997,71,157
81,280.138,119.425,87,139
82,596.416,113.489,81,137
83,227.002,122.309,92,145
84,211.373,131.800,100,200
85,374.885,130.644,96,162
86,142.218,126.380,96,145
87,266.463,113.798,80,139
88,169.372,111.764,72,171
89,256.891,100.841,68,121
90,197.698,115.708,87,141
91,236.379,102.698,79,122
92,166.833,106.468,76,129
93,189.689,113.148,78,133
94,327.023,117.806,90,155
95,205.513,113.151,87,146
96,172.107,115.995,89,133
97,269.198,110.600,73,136
98,145.344,115.477,87,136
99,169.567,105.819,77,127
100,486.237,111.470,84,142
101,152.767,126.661,99,149
102,284.631,111.437,75,140
103,188.712,117.718,78,136
104,282.092,121.679,80,146
105,231.299,117.508,97,137
106,186.759,129.263,87,154
107,157.260,126.892,99,147
108,122.878,117.154,97,136
109,118.385,124.733,106,138
