 ,Area,Mean,Min,Max
1,106296.145,154.374,56,212
2,50903.062,150.907,79,191
3,330.344,134.904,117,159
4,366.680,139.034,118,162
5,387.192,133.694,109,156
6,249.077,141.844,124,159
7,449.315,147.086,120,174
8,538.201,142.844,121,182
9,255.523,137.777,119,166
10,692.531,148.540,128,178
11,755.630,152.125,132,175
12,188.712,143.942,127,165
13,251.812,146.978,121,175
14,612.826,157.086,133,177
15,285.413,155.310,135,170
16,476.274,147.564,56,212
17,137.529,146.700,130,178
18,276.036,148.425,122,192
19,181.289,150.552,134,169
20,145.148,141.821,130,162
21,229.151,143.205,122,174
22,140.460,151.533,140,174
23,169.372,154.848,133,170
24,190.275,150.764,131,166
25,149.446,137.952,121,164
26,191.447,143.466,120,173
27,445.017,145.932,122,172
28,297.524,143.794,122,172
29,350.856,150.444,133,171
30,218.992,147.405,124,168
31,349.879,148.378,127,166
32,493.660,144.863,124,167
33,573.560,145.165,125,170
34,478.423,144.819,125,167
35,365.508,156.183,141,174
36,134.599,151.705,138,167
37,158.042,151.392,137,167
38,169.763,150.442,132,170
39,225.829,145.372,126,169
40,351.052,146.704,127,168
41,281.310,146.918,133,163
42,182.656,161.373,137,175
43,231.495,154.962,141,172
44,353.787,151.650,130,174
45,163.902,155.448,134,177
46,279.357,160.754,143,178
47,198.871,148.452,127,182
48,506.944,145.799,125,169
49,100.803,154.116,137,170
50,181.484,147.859,130,173
51,204.341,143.538,126,167
52,470.999,147.083,123,175
53,219.969,152.028,135,175
54,210.397,150.410,127,176
55,662.446,142.073,120,168
56,564.964,148.781,130,180
57,279.161,146.916,127,170
58,261.970,145.165,121,170
59,161.949,152.832,136,171
60,294.790,143.225,125,177
61,68.374,150.789,129,174
62,84.784,146.606,131,179
63,86.151,149.039,124,167
64,211.569,153.186,137,172
65,193.010,159.846,131,178
66,359.647,147.809,125,169
67,597.003,140.477,117,182
68,512.023,150.241,122,179
69,706.987,154.048,135,177
70,213.522,154.689,134,186
71,340.698,154.819,136,173
72,807.399,151.572,122,185
73,96.896,152.046,135,174
74,197.503,157.588,132,177
75,217.625,139.519,123,164
76,217.625,139.519,123,164
77,285.413,145.768,129,170
78,101.193,136.894,120,154
79,101.193,136.894,120,154
80,554.025,140.899,114,166
81,349.098,134.416,110,159
82,135.576,147.689,130,165
83,199.652,146.156,126,168
84,410.439,150.196,128,179
85,502.060,144.933,122,176
86,322.334,141.101,120,175
87,116.040,137.562,123,160
88,235.402,143.902,124,173
89,218.797,150.507,124,174
90,368.438,141.528,124,168
91,313.934,139.440,103,185
92,339.526,144.543,119,162
93,308.074,146.851,129,174
94,149.251,140.013,126,164
95,185.977,143.099,125,162
96,142.804,137.163,119,155
97,185.587,151.996,129,178
98,210.983,151.232,130,167
99,209.615,140.790,104,171
100,501.084,141.926,117,171
101,291.469,141.513,126,172
102,205.903,148.665,129,169
103,235.793,140.640,116,165
104,124.245,140.245,125,152
105,174.061,149.246,136,161
106,187.149,142.296,126,166
107,220.360,141.235,126,161
108,184.610,138.905,122,156
109,273.105,140.005,121,161
110,404.383,133.979,114,160
111,297.524,140.625,121,163
112,298.501,133.954,111,169
113,163.707,138.832,122,157
114,248.686,137.595,111,160
115,209.420,133.034,110,157
116,304.753,134.781,109,164
117,512.610,134.742,111,168
118,333.274,139.797,116,168
119,498.349,139.665,115,163
120,353.200,144.054,128,160
121,430.756,143.266,121,166
122,287.171,147.633,132,166
123,284.436,149.721,132,177
124,140.655,144.618,125,164
