 ,Area,Mean,Min,Max
1,123002.839,89.357,50,128
2,56423.772,86.590,55,155
3,894.722,90.015,73,111
4,422.551,88.756,71,105
5,541.327,83.541,67,98
6,321.944,96.941,81,113
7,280.333,90.272,75,104
8,296.352,97.877,74,116
9,433.100,93.910,79,112
10,341.479,93.144,75,109
11,184.219,93.260,70,108
12,227.978,90.626,75,105
13,403.211,104.097,90,118
14,458.887,106.510,92,122
15,285.217,105.821,93,121
16,382.113,100.958,81,128
17,286.389,95.887,81,109
18,248.686,98.570,83,114
19,359.061,98.244,80,111
20,216.062,99.183,82,117
21,207.466,95.322,78,109
22,308.269,95.909,80,113
23,392.076,84.752,67,100
24,763.444,80.641,59,103
25,480.767,95.756,73,112
26,249.467,102.075,84,113
27,365.898,91.486,73,112
28,261.970,88.899,76,110
29,297.134,89.222,72,107
30,226.806,93.380,78,107
31,162.144,92.528,76,109
32,269.980,82.363,68,96
33,353.200,88.185,77,103
34,392.662,93.149,78,108
35,500.498,95.723,78,113
36,324.093,94.218,80,113
37,485.065,98.594,81,120
38,243.802,88.300,74,99
39,180.507,86.526,72,103
40,239.700,96.053,82,117
41,171.716,89.345,72,104
42,253.765,81.253,66,96
43,246.732,85.234,71,99
44,210.201,92.571,72,106
45,232.276,97.563,84,111
46,289.320,89.739,66,103
47,179.531,82.017,70,96
48,179.531,82.017,70,96
49,340.307,82.844,67,103
50,462.794,89.599,70,109
51,674.558,77.745,61,94
52,222.899,84.272,68,101
53,340.307,86.726,73,102
54,375.275,89.123,70,109
55,219.187,84.002,70,98
56,434.663,83.743,66,99
57,365.898,97.226,83,110
58,320.186,90.589,50,106
59,187.931,83.447,70,108
60,205.903,91.977,77,108
61,384.066,85.220,68,96
62,416.886,88.216,73,102
63,423.137,84.890,68,101
64,466.701,79.254,66,95
65,153.744,80.912,70,93
66,423.333,76.520,65,93
67,232.472,87.306,73,99
68,224.853,85.728,70,98
69,285.803,87.691,70,103
70,185.391,100.879,86,113
71,231.104,95.325,82,111
72,148.860,93.951,83,104
73,294.203,88.139,73,99
74,196.526,92.639,73,106
75,261.189,93.039,77,105
76,272.910,90.346,71,104
77,185.782,87.077,75,101
78,334.056,80.659,69,95
79,381.722,91.789,74,104
80,201.020,96.388,82,113
81,623.766,90.013,74,102
82,281.701,77.519,67,86
83,205.903,84.968,71,99
84,455.371,84.108,68,99
85,228.369,87.698,70,104
86,301.627,86.836,75,100
87,191.447,84.518,69,104
88,206.685,91.800,82,104
89,112.524,83.280,72,91
90,208.248,84.212,75,96
91,458.887,78.530,65,90
92,347.144,78.470,65,91
93,377.229,80.224,67,98
94,375.080,83.359,63,97
95,294.790,89.023,78,101
96,356.912,87.457,74,103
97,171.521,89.621,73,96
98,1030.103,88.858,73,104
99,386.215,91.921,80,104
100,289.710,90.711,79,104
