 ,Area,Mean,Min,Max
1,15001.041,113.275,65,166
2,15535.669,111.194,63,172
3,164.273,129.051,82,154
4,132.640,127.319,99,151
5,184.992,137.183,103,154
6,183.698,116.721,88,144
7,161.868,129.726,99,158
8,256.955,120.870,103,139
9,183.698,127.732,85,153
10,150.584,134.835,91,159
11,171.118,136.478,102,163
12,182.958,118.547,86,139
13,130.235,129.834,102,156
14,197.942,119.462,83,138
15,265.649,95.925,75,117
16,140.594,107.825,75,122
17,281.744,116.838,85,146
18,140.964,118.169,80,152
19,178.888,92.432,76,103
20,160.758,101.329,80,129
21,292.103,103.214,65,139
22,242.340,113.289,66,144
23,188.692,132.175,89,152
24,329.842,129.911,85,157
25,303.573,128.478,90,158
26,232.721,120.943,84,145
27,186.287,104.926,80,131
28,234.570,127.971,87,150
29,211.631,106.719,78,127
30,212.741,116.221,86,143
31,219.771,118.882,78,139
32,238.825,124.958,100,146
33,221.806,140.048,103,166
34,128.570,124.435,89,145
35,158.909,100.604,71,133
36,183.698,120.147,86,153
37,221.251,130.175,95,157
38,174.078,121.416,81,162
39,242.525,133.918,87,160
40,217.921,120.553,90,147
41,401.804,122.507,71,154
42,368.320,121.947,80,157
43,163.718,122.214,90,146
44,170.563,113.284,86,139
45,369.430,123.012,80,163
46,199.422,106.982,80,125
47,160.203,105.993,85,122
48,86.576,120.113,94,151
49,185.917,121.409,76,155
50,149.104,109.632,82,135
51,265.464,122.007,80,153
52,177.223,100.449,77,120
53,279.709,99.701,80,116
54,168.528,103.666,83,125
55,213.111,112.835,85,135
56,216.441,131.650,94,162
57,161.313,126.679,83,155
58,214.406,124.565,81,148
59,287.848,127.990,79,160
60,174.448,108.070,90,130
61,182.958,103.769,78,130
62,284.148,107.904,74,136
63,142.814,122.079,89,150
64,128.200,124.988,92,155
65,146.699,118.424,78,150
66,172.598,91.401,77,105
67,226.801,120.365,86,144
68,134.490,124.824,101,147
69,194.612,127.819,95,157
70,191.652,116.525,73,147
71,216.626,113.827,77,142
72,128.200,107.603,79,129
73,203.677,107.246,71,132
74,167.233,93.303,70,107
75,198.682,95.726,77,115
76,209.966,127.348,78,157
77,240.860,130.567,86,160
78,228.281,128.876,92,158
79,253.625,110.258,83,142
80,213.481,132.141,80,162
81,172.043,120.023,80,147
82,167.973,133.387,97,159
83,148.549,125.172,80,156
84,235.495,131.621,92,163
85,321.702,129.463,82,159
86,187.212,113.438,81,138
87,158.909,129.106,95,151
88,182.218,119.589,75,149
89,204.047,110.765,76,143
90,214.591,111.999,87,150
91,160.203,118.971,96,144
92,196.832,125.730,91,160
93,148.179,127.890,89,157
94,160.018,119.168,87,148
95,328.177,133.660,90,172
96,254.365,106.782,70,133
97,315.042,123.607,87,159
98,232.351,112.256,79,136
99,315.412,111.131,74,132
100,97.491,108.615,81,131
