 ,Area,Mean,Min,Max
1,22986.056,114.347,65,176
2,22546.514,117.416,59,173
3,139.854,125.540,87,153
4,185.177,126.280,85,149
5,216.626,118.320,91,143
6,239.195,119.096,79,141
7,216.626,121.406,86,146
8,308.382,128.430,93,149
9,321.517,132.880,87,162
10,216.811,133.560,113,150
11,175.743,136.501,105,155
12,437.877,123.134,85,152
13,295.803,122.593,100,139
14,247.705,118.795,93,137
15,282.299,111.120,79,134
16,241.230,116.961,78,143
17,270.089,121.127,75,154
18,216.996,124.926,87,150
19,217.181,128.889,87,148
20,166.863,130.175,85,152
21,203.307,134.422,104,156
22,261.394,134.544,95,165
23,179.628,121.467,83,144
24,204.047,140.734,116,171
25,211.631,147.220,101,176
26,398.104,131.768,87,154
27,652.284,128.968,78,160
28,371.650,127.129,92,155
29,331.322,123.550,98,151
30,508.359,126.560,89,159
31,451.382,118.618,84,152
32,237.900,109.893,78,135
33,272.309,113.009,76,141
34,220.511,126.490,84,152
35,186.657,110.873,78,139
36,281.374,114.715,91,142
37,171.488,112.168,87,135
38,180.183,122.437,105,142
39,250.665,129.145,91,153
40,205.712,101.549,73,122
41,148.919,116.209,90,147
42,277.304,108.541,75,137
43,220.696,135.576,93,162
44,178.333,128.075,98,151
45,197.942,137.069,96,160
46,207.007,144.525,116,164
47,303.758,120.333,90,150
48,495.780,129.911,90,157
49,178.148,123.501,71,157
50,198.497,120.799,89,139
51,205.527,116.229,88,140
52,269.164,123.649,84,147
53,231.611,114.808,83,139
54,235.310,121.377,87,143
55,393.109,114.257,82,145
56,213.111,96.961,76,111
57,233.276,112.394,87,139
58,237.715,117.100,84,139
59,205.157,119.749,70,160
60,185.732,122.372,81,159
61,237.345,122.691,78,155
62,218.661,121.790,89,142
63,304.313,125.356,85,153
64,248.815,124.156,91,150
65,342.236,103.619,65,136
66,389.594,132.466,89,163
67,261.024,145.862,116,166
68,225.321,125.669,94,155
69,283.408,128.239,95,155
70,170.378,135.041,110,154
71,376.645,132.132,81,163
72,328.177,105.614,81,135
73,319.482,118.548,89,138
74,386.449,118.998,86,154
75,292.658,107.500,79,142
76,237.345,123.323,84,149
77,378.680,127.937,87,157
78,298.208,120.860,90,147
79,175.558,130.438,87,162
80,335.576,115.381,93,144
81,226.616,139.864,112,163
82,218.476,128.903,95,162
83,144.664,135.850,102,153
84,192.762,119.025,91,140
85,167.603,123.038,85,140
86,145.959,134.539,109,156
87,190.172,125.578,106,149
88,252.515,139.358,109,161
89,424.558,136.513,91,173
90,292.103,124.902,92,154
91,470.436,128.710,85,156
92,286.368,125.316,92,154
93,221.621,128.066,102,152
94,211.631,111.234,83,129
95,205.527,118.061,88,139
96,306.348,119.660,97,160
97,249.925,128.041,102,151
98,266.574,117.554,96,142
99,176.113,121.909,105,140
100,392.739,128.992,104,154
101,285.813,108.528,86,127
102,468.956,108.178,89,133
103,210.521,116.149,96,133
104,270.089,105.776,91,123
105,153.174,90.564,74,103
106,418.638,100.297,83,120
107,361.475,109.585,77,136
108,149.844,141.120,110,163
109,188.692,128.707,83,152
110,203.122,120.608,89,141
