 ,Area,Mean,Min,Max
1,77172.390,89.549,20,154
2,73798.127,94.870,16,204
3,196.647,85.387,68,102
4,152.434,85.485,72,104
5,156.319,87.122,69,107
6,190.357,92.000,70,107
7,150.214,93.515,72,111
8,133.935,89.222,79,102
9,206.082,84.180,72,100
10,141.889,84.520,65,102
11,242.895,85.811,69,104
12,222.731,87.681,72,112
13,143.554,81.018,63,93
14,183.328,84.921,73,101
15,123.205,86.787,72,103
16,84.727,96.461,78,110
17,401.989,83.782,66,105
18,245.485,89.757,72,108
19,544.803,88.493,71,107
20,203.862,94.049,74,115
21,134.120,92.091,71,106
22,261.209,82.417,69,98
23,274.714,87.114,66,108
24,223.841,89.828,73,110
25,90.091,93.838,72,110
26,184.438,93.809,72,115
27,281.929,92.491,72,111
28,279.709,86.470,72,101
29,320.037,86.678,67,107
30,199.607,84.566,64,99
31,206.452,86.417,71,106
32,177.223,90.532,71,108
33,480.055,81.280,62,100
34,241.415,79.559,64,99
35,163.348,83.839,65,99
36,157.059,78.047,62,99
37,201.827,82.440,65,97
38,348.341,88.955,67,111
39,180.923,102.661,82,128
40,196.277,90.358,71,108
41,161.868,83.469,70,102
42,184.253,91.456,70,109
43,113.400,93.848,71,111
44,127.645,89.064,73,103
45,161.683,90.749,68,111
46,109.146,88.634,68,106
47,339.461,87.939,72,107
48,273.049,87.282,55,108
49,88.056,86.689,71,98
50,136.709,83.249,62,97
51,187.212,81.146,69,98
52,234.570,78.591,67,109
53,88.426,86.952,73,109
54,321.332,84.005,66,104
55,293.398,87.789,66,105
56,118.395,89.053,72,103
57,179.998,88.676,70,107
58,379.050,88.012,67,106
59,76.587,90.645,75,105
60,227.356,99.811,75,116
61,103.966,92.715,78,115
62,91.016,91.923,68,112
63,168.343,92.823,69,107
64,133.565,79.086,64,94
65,147.809,78.806,57,94
66,116.730,89.044,74,108
67,152.989,91.299,71,106
68,205.527,86.613,20,136
69,80.102,97.335,83,112
70,125.055,88.107,74,104
71,211.261,83.296,59,107
72,160.943,84.861,63,101
73,106.556,89.543,76,105
74,134.305,86.919,69,108
75,137.819,85.954,70,100
76,276.749,80.714,62,102
77,444.907,80.791,62,100
78,150.769,83.211,64,100
79,123.020,86.071,63,104
80,291.178,83.461,60,103
81,115.065,79.492,67,107
82,313.932,91.500,69,116
83,136.709,95.189,69,114
84,133.380,108.487,86,126
85,174.633,99.553,80,122
86,162.978,102.610,75,130
87,259.729,99.029,72,124
88,208.487,102.718,79,126
89,113.955,97.885,72,115
90,150.399,90.401,67,111
91,99.896,89.533,68,101
92,100.451,80.657,68,97
93,273.419,86.699,64,112
94,170.193,78.729,63,93
95,95.086,86.597,64,100
96,90.646,80.437,62,90
97,121.170,86.139,68,101
98,156.504,94.697,66,117
99,174.818,97.408,76,112
100,293.398,88.008,72,103
101,253.440,100.543,80,124
102,165.938,104.265,88,124
103,111.920,89.815,75,108
104,248.445,102.430,80,122
105,191.652,89.035,69,103
106,124.130,100.751,83,118
107,189.617,96.375,69,119
108,100.451,100.407,85,119
109,58.088,98.885,90,110
110,126.535,98.928,77,120
111,593.641,99.648,69,122
112,583.836,96.277,74,122
113,237.530,99.618,71,118
114,209.966,106.322,80,125
115,347.231,101.677,78,119
116,229.206,108.028,84,129
117,163.533,99.130,69,118
118,197.942,103.081,87,118
119,379.975,96.075,74,123
120,193.132,99.383,75,115
121,171.118,101.908,85,115
122,264.169,87.597,75,109
123,179.628,92.662,77,110
