 ,Area,Mean,Min,Max
1,26479.084,106.147,53,149
2,26701.075,102.821,48,158
3,182.958,118.513,88,136
4,258.065,122.585,91,142
5,432.327,103.854,62,141
6,305.238,111.514,87,134
7,313.562,121.265,88,149
8,343.531,116.570,79,144
9,435.102,115.090,83,139
10,461.926,110.118,67,134
11,554.422,112.176,72,137
12,211.076,120.741,97,140
13,332.616,118.783,85,141
14,166.863,111.683,83,129
15,155.394,115.379,83,145
16,238.455,105.441,66,127
17,272.309,109.577,81,126
18,263.984,111.786,77,131
19,545.543,115.895,68,147
20,179.443,124.024,98,149
21,162.053,116.498,96,140
22,286.738,116.094,88,138
23,334.836,103.324,70,126
24,220.696,113.000,64,135
25,211.076,99.378,70,123
26,172.598,112.344,68,141
27,448.792,122.630,90,143
28,129.680,112.612,85,132
29,197.387,114.072,90,137
30,354.261,121.291,87,146
31,145.589,122.212,102,137
32,165.013,118.519,86,134
33,224.396,117.991,89,138
34,355.186,116.280,76,137
35,287.108,110.532,61,133
36,218.291,117.150,89,145
37,340.386,106.035,84,130
38,207.192,112.279,79,135
39,229.206,101.785,71,128
40,255.660,119.266,97,138
41,198.497,117.087,64,142
42,321.887,106.122,78,130
43,334.466,101.285,80,122
44,212.186,129.132,100,149
45,180.738,118.640,92,139
46,255.105,109.550,62,133
47,368.320,122.141,78,153
48,438.247,97.728,67,123
49,277.304,108.636,77,132
50,254.735,108.828,74,134
51,166.678,126.787,90,147
52,194.427,118.519,74,138
53,269.349,108.366,65,135
54,246.965,113.287,79,135
55,166.493,115.000,79,140
56,245.300,106.494,85,128
57,173.893,106.876,89,125
58,217.366,110.814,71,138
59,284.333,115.170,79,139
60,81.952,106.517,80,125
61,220.326,120.558,84,139
62,172.043,119.298,84,142
63,231.796,114.098,97,130
64,146.144,118.177,95,135
65,318.927,121.189,93,141
66,228.651,108.049,68,127
67,127.275,119.330,92,140
68,163.903,121.349,91,147
69,165.198,113.948,88,129
70,208.857,115.818,84,136
71,222.176,104.072,77,122
72,147.069,106.953,86,125
73,122.650,105.647,78,127
74,406.428,121.997,91,147
75,213.296,115.254,87,135
76,144.109,110.806,85,139
77,272.309,107.809,71,137
78,86.576,109.427,88,125
79,73.442,106.139,90,122
80,209.042,106.742,78,133
81,171.858,101.959,76,128
82,151.879,102.027,83,124
83,224.396,90.326,72,111
84,192.577,102.428,61,134
85,297.098,118.289,74,148
86,225.321,121.643,92,143
87,123.020,120.314,104,136
88,213.296,120.391,79,143
89,130.420,108.773,72,129
90,206.082,125.809,68,147
91,201.087,111.742,71,140
92,344.271,114.290,74,143
93,268.609,125.058,91,158
94,205.342,117.310,76,140
95,348.341,117.540,77,143
96,265.834,100.997,71,123
97,165.198,96.535,64,116
98,147.624,99.632,77,118
99,216.811,108.994,76,135
100,151.139,115.317,74,137
101,298.578,112.178,68,148
102,121.170,101.157,69,129
103,189.432,112.090,87,134
104,195.167,117.804,76,137
105,218.106,104.798,84,130
106,260.839,100.624,57,126
107,323.182,107.332,76,136
108,163.348,89.981,71,105
109,249.185,102.766,73,132
110,91.941,108.821,91,129
111,139.669,106.181,82,124
112,140.594,110.124,87,135
113,83.617,118.677,94,137
114,154.284,122.986,103,146
115,128.755,110.349,89,133
116,390.889,102.071,71,128
