 ,Area,Mean,Min,Max
1,19227.379,119.474,42,173
2,19171.141,115.161,35,173
3,282.854,132.263,65,172
4,308.382,98.792,67,130
5,236.605,98.048,50,139
6,288.773,129.750,82,164
7,414.753,131.462,82,156
8,117.100,123.114,92,144
9,493.190,140.477,87,170
10,220.326,132.629,79,161
11,190.912,146.367,109,173
12,321.887,129.934,94,157
13,335.021,121.761,95,148
14,223.656,131.034,100,152
15,465.256,134.804,98,153
16,323.922,139.992,111,159
17,308.752,136.893,67,166
18,157.614,141.576,63,173
19,244.930,124.919,50,151
20,211.446,128.016,67,152
21,204.047,119.782,55,154
22,149.659,130.822,61,160
23,201.272,115.786,86,141
24,174.078,121.875,82,147
25,350.931,120.310,80,150
26,444.722,122.836,80,154
27,439.542,122.965,65,154
28,220.326,126.286,90,149
29,220.511,125.128,66,158
30,170.748,135.679,68,164
31,138.744,126.100,90,152
32,383.859,125.050,78,149
33,94.161,118.857,68,145
34,146.514,124.061,89,144
35,262.134,118.931,80,140
36,134.860,115.137,77,138
37,201.272,134.858,107,152
38,196.092,117.810,86,137
39,381.824,113.835,58,151
40,120.430,130.859,81,153
41,376.830,106.974,71,144
42,208.302,109.834,70,136
43,258.435,130.483,78,160
44,147.069,122.146,92,141
45,216.256,119.891,93,136
46,254.180,127.886,56,166
47,318.187,122.540,83,145
48,340.201,128.990,58,153
49,303.573,127.321,91,149
50,316.707,123.794,89,152
51,506.694,129.477,91,162
52,432.142,114.527,72,142
53,415.493,131.619,85,162
54,834.686,127.000,48,153
55,124.130,126.747,79,150
56,275.084,131.482,86,161
57,204.417,129.897,83,162
58,428.443,123.676,85,150
59,128.570,115.035,79,143
60,375.905,127.603,80,160
61,366.100,126.094,76,170
62,173.153,121.179,61,150
63,207.377,97.886,52,140
64,245.485,112.050,83,143
65,159.279,118.347,74,149
66,227.726,128.860,86,143
67,267.684,114.276,66,139
68,179.813,115.443,65,147
69,204.417,121.319,92,144
70,161.498,112.993,71,139
71,205.527,131.766,90,149
72,322.627,120.201,68,154
73,170.748,118.362,73,144
74,177.223,120.429,79,149
75,153.914,123.157,67,148
76,260.839,126.452,92,154
77,344.271,128.466,88,156
78,438.617,128.285,72,173
79,378.125,114.973,80,139
80,227.726,102.125,60,127
81,245.115,103.680,77,130
82,214.961,107.160,65,132
83,357.035,129.471,78,165
84,224.396,125.373,63,152
85,238.640,121.252,83,141
86,212.001,114.979,72,142
87,178.888,115.042,65,138
88,351.116,116.560,67,139
89,295.433,103.340,70,137
90,159.279,102.109,75,121
91,181.478,109.016,71,135
92,152.989,117.606,85,144
93,76.587,115.437,91,135
94,248.445,124.293,75,156
95,188.877,127.422,85,166
96,177.963,106.060,57,129
97,122.465,120.873,85,147
98,214.776,130.960,98,157
99,178.148,137.498,100,161
100,175.188,116.062,51,144
101,189.802,125.084,65,148
102,192.762,126.169,82,152
103,276.564,114.020,82,137
104,263.799,116.377,59,149
105,119.690,111.216,72,139
106,173.523,123.979,85,149
