 ,Area,Mean,Min,Max
1,14065.349,107.166,38,153
2,13152.966,106.601,42,150
3,97.306,114.162,60,142
4,143.924,114.105,94,135
5,158.539,106.092,60,129
6,144.294,118.950,97,142
7,244.190,107.020,74,130
8,127.275,100.830,81,122
9,156.319,107.031,79,131
10,234.015,109.364,68,129
11,184.807,118.999,92,138
12,138.744,115.112,86,130
13,80.472,105.563,75,122
14,117.655,116.514,94,135
15,129.865,116.215,62,143
16,294.323,107.981,72,134
17,200.162,126.955,93,143
18,158.724,111.168,46,146
19,205.157,121.289,97,139
20,167.973,126.191,91,153
21,256.585,112.478,87,131
22,162.053,118.869,86,140
23,128.015,110.337,78,131
24,176.483,107.761,90,124
25,138.559,118.442,86,132
26,281.559,112.095,70,143
27,183.143,112.666,87,129
28,213.296,114.250,73,137
29,192.577,119.259,91,143
30,162.423,110.306,76,125
31,113.215,106.391,85,122
32,168.898,109.965,84,125
33,211.816,107.116,64,129
34,281.744,105.915,86,124
35,78.622,102.426,67,120
36,329.472,114.987,84,141
37,126.535,116.598,98,133
38,141.334,111.165,61,137
39,155.579,115.162,97,128
40,147.439,109.225,89,122
41,175.003,116.996,93,136
42,192.577,118.269,88,141
43,307.643,119.963,74,144
44,157.984,129.217,77,153
45,171.488,113.307,84,132
46,336.501,126.537,89,147
47,193.872,117.288,66,134
48,185.362,103.836,71,124
49,207.562,116.743,91,135
50,170.008,108.594,46,132
51,127.830,112.453,70,131
52,152.619,106.507,70,125
53,249.555,103.002,72,128
54,265.649,105.462,73,134
55,257.695,102.828,71,124
56,169.083,111.655,78,130
57,184.622,117.141,78,142
58,179.813,112.607,58,140
59,190.727,121.951,80,141
60,149.104,114.200,74,136
61,193.687,111.343,57,131
62,163.533,112.259,62,139
63,221.621,105.312,76,134
64,212.001,105.113,75,124
65,193.687,94.835,64,119
66,189.987,101.450,57,130
67,168.158,100.705,52,122
68,165.013,109.113,72,134
69,137.634,115.833,91,136
70,203.492,99.447,56,125
71,266.204,118.472,88,138
72,231.796,96.769,50,133
73,208.857,103.040,72,124
74,178.333,103.045,62,126
75,250.480,102.504,76,127
76,87.686,119.637,90,135
77,193.132,111.289,77,132
78,152.619,121.213,95,136
79,268.794,113.672,76,138
80,162.793,116.059,67,137
81,245.670,103.538,69,129
82,123.390,101.462,77,128
83,197.942,106.241,70,128
84,156.134,104.768,56,127
85,244.190,112.464,75,133
86,221.806,109.744,76,136
87,242.525,112.877,72,141
88,136.709,112.238,78,145
89,158.354,100.790,75,120
90,159.834,103.846,78,142
91,210.706,111.645,79,134
92,129.310,118.159,98,130
93,221.251,115.941,90,138
94,110.626,97.176,78,111
95,211.076,108.441,80,123
96,304.498,106.214,66,129
97,232.351,101.105,65,123
98,244.930,96.289,71,118
99,130.420,106.484,92,124
100,140.039,114.367,83,150
101,182.033,101.089,81,121
102,209.596,106.117,58,128
103,185.732,106.830,65,128
104,227.911,102.760,42,125
105,180.553,102.359,61,120
106,231.056,101.990,76,124
107,300.613,113.636,68,140
108,106.556,99.649,78,121
109,150.214,120.722,88,139
110,225.506,109.263,75,145
111,97.491,104.046,81,127
112,254.920,108.935,72,131
113,125.055,102.639,71,128
114,139.669,105.107,84,128
115,235.865,122.889,81,148
